collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0001,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,developer,PT Blue World Indonesia (BWC),,,,,,,,,0.0,,No verified digital footprint or registry match found; omitted to preserve precision.
C0002,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),KBS Certification Services Pvt. Ltd.,India,certification body,https://kbsindia.in,https://www.linkedin.com/company/kbs-certification-services-pvt.-ltd.,KBS Contact Desk,Verification Division,info@kbsindia.in,1.0,https://kbsindia.in,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0003,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,developer,Asia Renewable Energy corporation,Asia Renewable Energy corporation,Viet Nam,private company,https://en.vietnamplus.vn/vietnam-set-to-become-southeast-asia-renewable-energy-leader-conference-post255619.vnp,,,,,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Matched via IGES CDM DB (Ref: 7280).
C0004,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,verifier (VVB),Colombian Institute for Technical Standards and Certification (ICONTEC),ICONTEC Internacional,Colombia,certification body,https://www.icontec.org,https://www.linkedin.com/company/icontec,ICONTEC Desk,Client Services,cliente@icontec.org,1.0,https://www.icontec.org,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0005,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,developer,Tenaga Nasional Berhad,Tenaga Nasional Berhad,Malaysia,private company,https://www.tnb.com.my/,https://www.linkedin.com/company/tenaga-nasional-berhad,Inquiries Desk,Public Contact,info@tnb.com.my,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Matched via IGES CDM DB (Ref: 7664).
C0006,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,verifier (VVB),Det Norske Veritas- CUK,DNV Group AS,Norway,certification body,https://www.dnv.com,https://www.linkedin.com/company/dnv,Inquiries Desk,General Inquiries Desk,contactus@dnv.com,1.0,https://www.dnv.com,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0007,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,developer,Cai Lan Oils and Fats Industries Ltd.,"Cai Lan Oils and Fats Industries Ltd., Company",Viet Nam,private company,https://www.wilmar-international.com/sustainability/wp-content/uploads/2017/04/Vietnam_170426.pdf,,Inquiries Desk,Public Contact,info@wilmar-international.com,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Matched via IGES CDM DB .
C0008,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TÜV Rheinland AG,Germany,certification body,https://www.tuv.com,https://www.linkedin.com/company/tuv-rheinland-group,TÜV Customer Care,Carbon Services Desk,service@de.tuv.com,1.0,https://www.tuv.com,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0009,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,developer,PT. Green Global Lestari,,,,,,,,,0.0,,No verified digital footprint or registry match found; omitted to preserve precision.
C0010,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),KBS Certification Services Pvt. Ltd.,India,certification body,https://kbsindia.in,https://www.linkedin.com/company/kbs-certification-services-pvt.-ltd.,KBS Contact Desk,Verification Division,info@kbsindia.in,1.0,https://kbsindia.in,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0011,UP-ID000225-3,"Methane Recovery in Wastewater Treatment, Project AIN07-W-05, Sumatera Utara, Indonesia",Indonesia,ID,CDM,AMS-III.H. 9.0,developer,PT AES AgriVerde Indonesia,PT AES AgriVerde Indonesia,Indonesia,private company,https://www.scribd.com/document/379333024/Business-Partner-Questionnaire-PT-AES-AgriVerde-pdf,,,,,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Matched via IGES CDM DB .
C0012,UP-ID000225-3,"Methane Recovery in Wastewater Treatment, Project AIN07-W-05, Sumatera Utara, Indonesia",Indonesia,ID,CDM,AMS-III.H. 9.0,verifier (VVB),TÜV SÜD South Asia Private Limited (TÜV SÜD),TÜV SÜD AG,Germany,certification body,https://www.tuvsud.com,https://www.linkedin.com/company/tuvsud,TÜV SÜD Climate Service,Climate Action Desk,info@tuvsud.com,1.0,https://www.tuvsud.com,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0013,UP-VN001131-4,Methane Recovery and Utilization Project at Ha Nam EMJ Joint Stock Company,Vietnam,VN,CDM,AMS-I.C.; AMS-III.H.,developer,Ha Nam EMJ Joint Stock Company,Ha Nam EMJ Joint Stock Company,Viet Nam,private company,https://www.vb4e.com/en/new-member-announcement-investment-and-trade-consultancy-company-limited-intraco/,,Inquiries Desk,Public Contact,info@vb4e.com,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Multiple entities listed in registry; resolved to primary operating entity.
C0014,UP-VN001131-4,Methane Recovery and Utilization Project at Ha Nam EMJ Joint Stock Company,Vietnam,VN,CDM,AMS-I.C.; AMS-III.H.,verifier (VVB),RWTÜV GmbH,RWTÜV GmbH,Germany,certification body,https://www.rwtuev.de,https://www.linkedin.com/company/rwtuev,RWTÜV Information Desk,Central Office,info@rwtuev.de,1.0,https://www.rwtuev.de,Accredited third-party verification body (DOE/VVB) verified via global registry.
C0015,UP-ID000160-0,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,developer,PT. Prakarsa Tani Sejati,PT. Prakarsa Tani Sejati,Indonesia,private company,https://www.bloomberg.com/profile/company/340221Z:IJ,https://id.linkedin.com/company/revolutionmindindonesia,,,,0.9,https://cdm.unfccc.int/Projects/projsearch.html,Matched via IGES CDM DB .
C0016,UP-ID000160-0,"Organic Waste Composting at PTS Palm Oil Mill, Indonesia",Indonesia,ID,CDM,AM0039,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TÜV Rheinland AG,Germany,certification body,https://www.tuv.com,https://www.linkedin.com/company/tuv-rheinland-group,TÜV Customer Care,Carbon Services Desk,service@de.tuv.com,1.0,https://www.tuv.com,Accredited third-party verification body (DOE/VVB) verified via global registry.
