collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0001,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,developer,PT Blue World Indonesia (BWC),,,,,,,,,,,
C0002,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),,,,,,,,,,,
C0003,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,developer,Asia Renewable Energy corporation,Asia Renewable Energy corporation,Viet Nam,private company,https://en.vietnamplus.vn/vietnam-set-to-become-southeast-asia-renewable-energy-leader-conference-post255619.vnp,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 7280.0),Matched via IGES CDM DB (Ref: 7280.0).
C0004,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,verifier (VVB),Colombian Institute for Technical Standards and Certification (ICONTEC),ICONTEC,,certification body,https://www.iso.org/member/1644.html,https://co.linkedin.com/company/icontec,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 7280.0),Matched via IGES CDM DB (Ref: 7280.0). Validated DOE.
C0005,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,developer,Tenaga Nasional Berhad,Tenaga Nasional Berhad,Malaysia,private company,https://www.tnb.com.my/,https://www.linkedin.com/company/tenaga-nasional-berhad,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 7664.0),Matched via IGES CDM DB (Ref: 7664.0).
C0006,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,verifier (VVB),Det Norske Veritas- CUK,DNV,,certification body,https://www.dnv.us/,https://no.linkedin.com/company/dnv,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 7664.0),Matched via IGES CDM DB (Ref: 7664.0). Validated DOE.
C0007,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,developer,Cai Lan Oils and Fats Industries Ltd.,"Cai Lan Oils and Fats Industries Ltd., Company",Viet Nam,private company,https://www.wilmar-international.com/sustainability/wp-content/uploads/2017/04/Vietnam_170426.pdf,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan).
C0008,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),TUEV-RHEIN,,certification body,https://www.tuv.com/world/en/,,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0009,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,developer,PT. Green Global Lestari,,,,,,,,,,,
C0010,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),,,,,,,,,,,
