collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0001,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,developer,PT Blue World Indonesia (BWC),,,,,,,,,,,
C0002,UP-ID000349-4,BWC Sustainable Landfill Gas Recovery Programme of Activities in Indonesia,Indonesia,ID,CDM,ACM0001 ver. 12,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),,,,,,,,,,,
C0003,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,developer,Asia Renewable Energy corporation,,,,,,,,,,,
C0004,UP-VN001363-3,THUAN NHIEN PHONG WIND POWER PROJECT,Vietnam,VN,CDM,ACM0002 12.3.0,verifier (VVB),Colombian Institute for Technical Standards and Certification (ICONTEC),,,,,,,,,,,
C0005,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,developer,Tenaga Nasional Berhad,,,,,,,,,,,
C0006,UP-MY062877-2,Ulu Jelai Hydropower Plant Project,Malaysia,MY,CDM,ACM0002 13.0.0,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0007,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,developer,Cai Lan Oils and Fats Industries Ltd.,,,,,,,,,,,
C0008,UP-VN001109-2,"Calofic Biomass Steam Plant in Can Tho, Vietnam",Vietnam,VN,CDM,AMS-I.C.; AMS-III.E.,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
C0009,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,developer,PT. Green Global Lestari,,,,,,,,,,,
C0010,UP-ID000125-4,Distribution of Sustainable Biogas Recovery System in Indonesia,Indonesia,ID,CDM,ACM0014 ver. 8; AMS-I.A. ver. 17; AMS-I.C. ver. 21; AMS-I.D. ver. 18; AMS-I.F. ver. 3; AMS-III.H. ver. 19,verifier (VVB),KBS Certification Services Pvt. Ltd (KBS),,,,,,,,,,,
C0011,UP-ID000225-3,"Methane Recovery in Wastewater Treatment, Project AIN07-W-05, Sumatera Utara, Indonesia",Indonesia,ID,CDM,AMS-III.H. 9.0,developer,PT AES AgriVerde Indonesia,,,,,,,,,,,
C0012,UP-ID000225-3,"Methane Recovery in Wastewater Treatment, Project AIN07-W-05, Sumatera Utara, Indonesia",Indonesia,ID,CDM,AMS-III.H. 9.0,verifier (VVB),TÜV SÜD South Asia Private Limited (TÜV SÜD),,,,,,,,,,,
